"year","landlord","count","date"
2006,"Private",299607,2006-03-31
2006,"State",66591,2006-03-31
2013,"Private",355554,2013-03-31
2013,"State",69180,2013-03-31
2018,"Private",440025,2018-03-31
2018,"State",78963,2018-03-31
2006,"Not Elsewhere Included",22080,2006-03-31
2006,"Total",388275,2006-03-31
2013,"Not Elsewhere Included",28395,2013-03-31
2013,"Total",453132,2013-03-31
2018,"Not Elsewhere Included",8865,2018-03-31
2018,"Total",527853,2018-03-31
1996,"Private",196191,1996-03-31
1996,"State",75822,1996-03-31
2001,"Private",264498,2001-03-31
2001,"State",73050,2001-03-31
1996,"Total",290124,1996-03-31
1996,"Not Elsewhere Included",18114,1996-03-31
2001,"Total",358890,2001-03-31
2001,"Not Elsewhere Included",21339,2001-03-31
